Index   Info           Parent   RightSibling
1       program        0        0       
2       declist        1        0       
3       stmtlist       1        2       
4       declaration    2        0       
5       ;              2        4       
6       type           4        0       
7       identifier     4        6       
8       var            6        0       
9       letter         7        0       
10      a              9        0       
11      stmt           3        0       
12      ;              3        11      
13      simplestmt     11       0       
14      assignstmt     13       0       
15      identifier     14       0       
16      =              14       7       
17      expr           14       16      
18      letter         7        0       
19      a              9        0       
20      term           17       0       
21      +              17       20      
22      expr           17       21      
23      factor         20       0       
24      int            23       0       
25      nr             24       0       
26      ndigit         25       0       
27      1              26       0       
28      term           17       0       
29      +              17       20      
30      expr           17       21      
31      factor         20       0       
32      int            23       0       
33      nr             24       0       
34      ndigit         25       0       
35      2              26       0       
36      term           17       0       
37      factor         20       0       
38      int            23       0       
39      nr             24       0       
40      ndigit         25       0       
41      3              26       0       
